{identifier: "name",
items: [
{name: "Abbyville"},
{name: "Abilene"},
{name: "Achilles"},
{name: "Acme"},
{name: "Ada"},
{name: "Adams"},
{name: "Adams Corner"},
{name: "Adamsville"},
{name: "Admire"},
{name: "Aetna"},
{name: "Agenda"},
{name: "Agra"},
{name: "Agricola"},
{name: "Aikins"},
{name: "Aikman"},
{name: "Akron"},
{name: "Alameda"},
{name: "Alamota"},
{name: "Alanthus"},
{name: "Albert"},
{name: "Alcove Spring"},
{name: "Alden"},
{name: "Alexander"},
{name: "Alfmil"},
{name: "Aliceville"},
{name: "Alida"},
{name: "Allen"},
{name: "Allendorph"},
{name: "Allison"},
{name: "Alma"},
{name: "Almena"},
{name: "Alta Mills"},
{name: "Alta Vista"},
{name: "Altamont"},
{name: "Alton"},
{name: "Altoona"},
{name: "America City"},
{name: "Americus"},
{name: "Ames"},
{name: "Amy"},
{name: "Anchorway"},
{name: "Andale"},
{name: "Andover"},
{name: "Angelus"},
{name: "Angola"},
{name: "Annelly"},
{name: "Anness"},
{name: "Anson"},
{name: "Antelope"},
{name: "Anthony"},
{name: "Antioch"},
{name: "Antonino"},
{name: "Arcadia"},
{name: "Arcola"},
{name: "Ardell"},
{name: "Argentine"},
{name: "Argonia"},
{name: "Arkalon"},
{name: "Arkansas City"},
{name: "Arlington"},
{name: "Arma"},
{name: "Arnold"},
{name: "Arrington"},
{name: "Arthur Heights"},
{name: "Arvonia"},
{name: "Ash Grove"},
{name: "Ash Valley"},
{name: "Asherville"},
{name: "Ashland"},
{name: "Ashton"},
{name: "Assaria"},
{name: "Astor"},
{name: "Atchison"},
{name: "Athens"},
{name: "Athol"},
{name: "Atlanta"},
{name: "Atlas"},
{name: "Attica"},
{name: "Atwood"},
{name: "Aubry"},
{name: "Auburn"},
{name: "Augusta"},
{name: "Aulne"},
{name: "Aurora"},
{name: "Avian"},
{name: "Axtell"},
{name: "B N Junction"},
{name: "Badger"},
{name: "Baileyville"},
{name: "Bain City"},
{name: "Baker"},
{name: "Bala"},
{name: "Baldwin City"},
{name: "Balta"},
{name: "Bancroft"},
{name: "Barber"},
{name: "Barclay"},
{name: "Barnard"},
{name: "Barnes"},
{name: "Barnesville"},
{name: "Barret"},
{name: "Barrett (historical)"},
{name: "Bartlett"},
{name: "Barton"},
{name: "Basehor"},
{name: "Basil"},
{name: "Bassett"},
{name: "Batesville"},
{name: "Bavaria"},
{name: "Baxter Junction"},
{name: "Baxter Springs"},
{name: "Bayard"},
{name: "Bayneville"},
{name: "Bazaar"},
{name: "Bazine"},
{name: "Beagle"},
{name: "Beardsley"},
{name: "Beattie"},
{name: "Beaumont"},
{name: "Beaver"},
{name: "Beckerville"},
{name: "Beeler"},
{name: "Bellaire"},
{name: "Belle Plaine"},
{name: "Bellefont"},
{name: "Belleview (historical)"},
{name: "Belleville"},
{name: "Belmont"},
{name: "Beloit"},
{name: "Belpre"},
{name: "Belvidere"},
{name: "Belvue"},
{name: "Bendena"},
{name: "Benedict"},
{name: "Benedict Junction"},
{name: "Bennington"},
{name: "Bentley"},
{name: "Benton"},
{name: "Berkeley Hills (subdivision)"},
{name: "Berlin"},
{name: "Bern"},
{name: "Berryton"},
{name: "Bert Wettar"},
{name: "Berwet"},
{name: "Berwick"},
{name: "Bestwall"},
{name: "Bethel"},
{name: "Beto Junction"},
{name: "Beulah"},
{name: "Beverly"},
{name: "Beverly Hills"},
{name: "Big Bow"},
{name: "Big Springs"},
{name: "Bird City"},
{name: "Birmingham"},
{name: "Bisbee"},
{name: "Bismark Grove"},
{name: "Bison"},
{name: "Black Jack"},
{name: "Black Wolf"},
{name: "Blaine"},
{name: "Blair"},
{name: "Blake"},
{name: "Blakeman"},
{name: "Block"},
{name: "Blodgett"},
{name: "Bloom"},
{name: "Bloomington"},
{name: "Blue Hill"},
{name: "Blue Mound"},
{name: "Blue Rapids"},
{name: "Bluemont Hill"},
{name: "Bluff City"},
{name: "Bogue"},
{name: "Boicourt"},
{name: "Bois d' Arc"},
{name: "Bolton"},
{name: "Bonita"},
{name: "Bonner Springs"},
{name: "Bonnie Brae"},
{name: "Bosse"},
{name: "Boyd"},
{name: "Boyle"},
{name: "Bradford"},
{name: "Brainerd"},
{name: "Brantford"},
{name: "Brazilton"},
{name: "Bremen"},
{name: "Brenham"},
{name: "Brenner"},
{name: "Breton"},
{name: "Brewer"},
{name: "Brewster"},
{name: "Bridgeport"},
{name: "Broken Arrow Park"},
{name: "Bronson"},
{name: "Brookhaven"},
{name: "Brooks"},
{name: "Brookville"},
{name: "Broughton (historical)"},
{name: "Browndale"},
{name: "Brownell"},
{name: "Brownstone"},
{name: "Brownville"},
{name: "Buck Creek"},
{name: "Buckeye"},
{name: "Bucklin"},
{name: "Bucyrus"},
{name: "Buffalo"},
{name: "Buffville"},
{name: "Buhler"},
{name: "Bunker Hill"},
{name: "Burden"},
{name: "Burdett"},
{name: "Burdick"},
{name: "Burkett"},
{name: "Burlingame"},
{name: "Burlington"},
{name: "Burns"},
{name: "Burr Oak"},
{name: "Burrton"},
{name: "Busby"},
{name: "Bush City"},
{name: "Bushnell"},
{name: "Bushong"},
{name: "Bushton"},
{name: "Buttermilk"},
{name: "Buxton"},
{name: "Byers"},
{name: "Cadmus"},
{name: "Cairo"},
{name: "Calderhead"},
{name: "Caldwell"},
{name: "Calista"},
{name: "Calvert"},
{name: "Cambridge"},
{name: "Cameron"},
{name: "Canada"},
{name: "Caney"},
{name: "Canton"},
{name: "Capaldo"},
{name: "Capioma"},
{name: "Carbon (historical)"},
{name: "Carbondale"},
{name: "Carden"},
{name: "Carlton"},
{name: "Carlyle"},
{name: "Carneiro"},
{name: "Carona"},
{name: "Caruso"},
{name: "Cassoday"},
{name: "Castleton"},
{name: "Catharine"},
{name: "Cato"},
{name: "Cave"},
{name: "Cave Springs"},
{name: "Cawker City"},
{name: "Cedar"},
{name: "Cedar Bluffs"},
{name: "Cedar Point"},
{name: "Cedar Vale"},
{name: "Centerview"},
{name: "Centerville"},
{name: "Central"},
{name: "Centralia"},
{name: "Centropolis"},
{name: "Cessna"},
{name: "Chanute"},
{name: "Chapman"},
{name: "Chardon"},
{name: "Charleston"},
{name: "Charters Corner"},
{name: "Chase"},
{name: "Chautauqua"},
{name: "Chelsea"},
{name: "Cheney"},
{name: "Chepstow"},
{name: "Cherokee"},
{name: "Cherryvale"},
{name: "Chetopa"},
{name: "Chevron"},
{name: "Cheyenne"},
{name: "Cheyenne Gap"},
{name: "Chicopee"},
{name: "Childs Acres"},
{name: "Chiles"},
{name: "Chouteau"},
{name: "Cicero"},
{name: "Cimarron"},
{name: "Circleville"},
{name: "Claflin"},
{name: "Clare"},
{name: "Claudell"},
{name: "Clay Center"},
{name: "Clayton"},
{name: "Clearfield"},
{name: "Clearview City"},
{name: "Clearwater"},
{name: "Clements"},
{name: "Cleveland"},
{name: "Clifton"},
{name: "Climax"},
{name: "Clinton"},
{name: "Clonmel"},
{name: "Cloverdale"},
{name: "Clyde"},
{name: "Coal Valley (historical)"},
{name: "Coalvale"},
{name: "Coats"},
{name: "Cochrane"},
{name: "Codell"},
{name: "Coffeyville"},
{name: "Cokedale"},
{name: "Colby"},
{name: "Coldspur"},
{name: "Coldwater"},
{name: "Coleman"},
{name: "Collano"},
{name: "Collyer"},
{name: "Colony"},
{name: "Columbus"},
{name: "Colwich"},
{name: "Commonwealth"},
{name: "Concordia"},
{name: "Connell"},
{name: "Conway"},
{name: "Conway Springs"},
{name: "Cook"},
{name: "Cookville"},
{name: "Coolidge"},
{name: "Copeland"},
{name: "Cora"},
{name: "Corbin"},
{name: "Corbin (historical)"},
{name: "Corinth"},
{name: "Cornell"},
{name: "Corning"},
{name: "Coronado"},
{name: "Corwin"},
